Chain,Claimed Fees,Unclaimed Fees
arbitrum,217141.96643217994,726797.6130283867
aurora,0.0,125185.0005768566
avax,92570.19626894093,133175.11711860693
boba,28049.06127547948,135048.69070696965
bsc,205390.44093745205,32294.410930901133
canto,0.0,0.0
cronos,0.0,0.0
dfk,0,0
dogechain,0.0,5103.768476727453
ethereum,3816119.348800915,285769.09821922786
fantom,68588.24608665462,224052.62931323075
metis,1359488.9867590175,118045.64910726105
moonriver,0.0,181.76509000945518
moonbeam,0.0,178.06859594226466
optimism,6505.7823367990895,197689.76250859894
polygon,183532.86201710108,65099.09172591209
