Chain,Claimed Fees,Unclaimed Fees
arbitrum,1358703.031718415,561813.730306795
aurora,0.0,126705.77351332718
avax,79015.81227434563,178884.30863698586
boba,32440.35747607418,138666.27806943463
bsc,201721.12523590281,132658.90056979348
canto,0.0,113847.75412879822
cronos,0.0,0.0
dfk,0,0
dogechain,0.0,5384.303226834822
ethereum,2909885.894367689,159084.74528890464
fantom,104666.56205596038,237600.43189543168
metis,1353456.76631333,138321.51303568442
moonriver,0.0,97.32259245576692
moonbeam,0.0,140.43551282730542
optimism,250524.31258196125,265375.3549652764
polygon,173543.06314841507,115418.91451753426
