Chain,Claimed Fees,Unclaimed Fees
arbitrum,1352625.2132935703,556080.3783772086
aurora,0.0,126358.49528865352
avax,83665.22000830957,177048.37304841707
boba,33805.97465003506,139133.5803943215
bsc,201881.4640612137,115008.24261484698
canto,0.0,120592.14070430423
cronos,0,0
dfk,0,0
dogechain,0.0,5459.064082808794
ethereum,3364494.4788980973,8053.774236904165
fantom,108220.64979854823,239147.32120685105
metis,1357570.029424568,136727.63291544333
moonriver,0.0,110.76338406206303
moonbeam,0.0,118.77951376482488
optimism,208841.05787343203,259178.82791725628
polygon,173287.36575145499,108412.65273829267
