Chain,Claimed Fees,Unclaimed Fees
arbitrum,1086735.7419925963,205708.91763546778
aurora,0.0,126826.44566772375
avax,69337.00301233838,171456.5067330484
boba,28866.60499202164,137105.79317422272
bsc,201491.83857765005,147572.67241361138
canto,0.0,125206.14421715312
cronos,0.0,0.0
dfk,0,0
dogechain,0.0,5190.059173921256
ethereum,2142348.903204243,373359.8026067787
fantom,95685.50600323209,234045.10324567073
metis,1363906.5868061488,140374.94355191445
moonriver,0.0,83.983340546981
moonbeam,0.0,150.08148947591462
optimism,216585.16155449397,270621.97885868605
polygon,170816.93508962338,122161.02195991593
