Chain,Claimed Fees,Unclaimed Fees
arbitrum,1332830.5269096373,510131.4950784038
aurora,0.0,126162.7672187749
avax,78868.57348568954,169356.9013826545
boba,32669.562970257088,138264.0522412289
bsc,203435.08606587193,100862.35982280633
canto,0.0,8400.772642906324
cronos,0,0
dfk,0,0
dogechain,0.0,5391.0618459985535
ethereum,3147566.5402576355,310305.0955352139
fantom,105317.64442316949,236603.9982097119
metis,1357009.9186711523,133490.80082558256
moonriver,0.0,122.77566408163993
moonbeam,0.0,118.375065340388
optimism,214577.47518305175,247419.65845486778
polygon,177348.76638454356,100736.48982339086
