Chain,Claimed Fees,Unclaimed Fees
arbitrum,229745.89365968978,861541.6048725186
aurora,0.0,125794.25612824467
avax,86789.38216870905,155485.8070168485
boba,32013.24151704378,137383.6131467671
bsc,204114.7172708166,62243.41839043202
canto,0.0,97481.52402316242
cronos,0.0,0.0
dfk,0,0
dogechain,0.0,5333.980759393094
ethereum,3358273.1241851663,458903.99140057334
fantom,77237.53139321186,228874.69729151818
metis,1358728.6046270481,125987.75912919207
moonriver,0.0,161.00624283571275
moonbeam,0.0,156.87392245219056
optimism,352425.24604156136,225834.54712279156
polygon,181970.26279105214,80969.26187921713
