Chain,Claimed Fees,Unclaimed Fees
arbitrum,106004.71777751828,324995.63726939267
aurora,0.0,124867.21830691447
avax,78664.77265690714,112378.93647122208
boba,27743.019424462465,134690.71679898695
bsc,207011.59683070783,392375.24699282227
canto,0.0,31852.706953302208
cronos,0.0,0.0
dfk,0,0
dogechain,0.0,5086.904053385225
ethereum,2778659.6538550416,268616.6662327233
fantom,67210.50024135254,209386.81187644316
metis,54609.607836164076,113115.59046166262
moonriver,0.0,154.8921474164041
moonbeam,0.0,152.765865528496
optimism,6434.798083561055,177310.4303050491
polygon,181753.3459753386,44647.81321935566
